"timeindex" "Y" "nsmY" "x" "y"
1 -1.38170743097968 -0.216649599126371 1 -1.16505783185331
2 -1.50061501269418 -0.336632134220288 2 -1.16398287847389
3 -1.54123729401463 -0.378334450252438 3 -1.16290284376219
4 -1.46276691238501 -0.30094818035894 4 -1.16181873202607
5 -1.44870206079884 -0.287972103299006 5 -1.16072995749983
6 -1.48794374133828 -0.328306648558016 6 -1.15963709278026
7 -1.68604949946911 -0.52750987125132 7 -1.15853962821779
8 -1.47143876180358 -0.31400091096294 8 -1.15743785084064
9 -1.50909011420077 -0.35275862876211 9 -1.15633148543866
10 -1.57044119150387 -0.415220597866 10 -1.15522059363787
11 -1.47284769112574 -0.318742733539515 11 -1.15410495758622
12 -1.50752338316608 -0.35453851875278 12 -1.1529848644133
13 -1.45457673397447 -0.302716587449878 13 -1.15186014652459
14 -1.54542149232375 -0.394689909749652 14 -1.1507315825741
15 -1.46213685357092 -0.312538550476525 15 -1.14959830309439
16 -1.45694994315832 -0.30848957760808 16 -1.14846036555024
17 -1.51945569701341 -0.372137940554769 17 -1.14731775645864
18 -1.4820661456048 -0.335895620711874 18 -1.14617052489293
19 -1.50473664659348 -0.359718425355523 19 -1.14501822123796
20 -1.48415425370463 -0.340292655287836 20 -1.14386159841679
21 -1.46934473637313 -0.326644346802043 21 -1.14270038957109
22 -1.46727497998963 -0.325740679384492 22 -1.14153430060514
23 -1.48994416820545 -0.34958053483179 23 -1.14036363337366
24 -1.48786701373362 -0.348679414758923 24 -1.1391875989747
25 -1.40516838123458 -0.267161414423502 25 -1.13800696681108
26 -1.58742150082805 -0.450599317651992 26 -1.13682218317606
27 -1.44438295808748 -0.308750286747383 27 -1.1356326713401
28 -1.41148587714018 -0.277047872946633 28 -1.13443800419355
29 -1.29835743428647 -0.165118968921638 29 -1.13323846536483
30 -1.33943796749537 -0.207404150023424 30 -1.13203381747195
31 -1.41243878733758 -0.281614124534709 31 -1.13082466280287
32 -1.45377948064416 -0.324168927488876 32 -1.12961055315528
33 -1.55984470497719 -0.431452985775799 33 -1.12839171920139
34 -1.42934989617271 -0.302182186704279 34 -1.12716770946843
35 -1.28726637736907 -0.161327164970656 35 -1.12593921239841
36 -1.44572517558738 -0.321019691738659 36 -1.12470548384872
37 -1.43970085079352 -0.316233991004909 37 -1.12346685978861
38 -1.35177251913376 -0.229549333945325 38 -1.12222318518843
39 -1.37473581630692 -0.253761314860274 39 -1.12097450144665
40 -1.32632137473961 -0.206600151392393 40 -1.11972122334722
41 -1.38442995439991 -0.265967316867818 41 -1.11846263753209
42 -1.26724124615657 -0.150042380897744 42 -1.11719886525883
43 -1.46627285975894 -0.350343019718537 43 -1.1159298400404
44 -1.52386484274838 -0.409208976436309 44 -1.11465586631207
45 -1.41886311715882 -0.305486325763243 45 -1.11337679139558
46 -1.46832088687442 -0.356228096707213 46 -1.11209279016721
47 -1.39317595268666 -0.282371509109988 47 -1.11080444357667
48 -1.37590069448091 -0.266390398675974 48 -1.10951029580494
49 -1.44872416714558 -0.340512678887345 49 -1.10821148825824
50 -1.4238743780971 -0.316967434197948 50 -1.10690694389915
51 -1.43824918168393 -0.332651732691694 51 -1.10559744899224
52 -1.3464372698758 -0.242154538580927 52 -1.10428273129487
53 -1.43614560546805 -0.3331827391881 53 -1.10296286627995
54 -1.28998053374946 -0.188342610053625 54 -1.10163792369584
55 -1.37794571897195 -0.277638306331982 55 -1.10030741263997
56 -1.39974244811953 -0.300770387598283 56 -1.09897206052125
57 -1.3316772184807 -0.234046153910825 57 -1.09763106456988
58 -1.27012855334138 -0.173844227534547 58 -1.09628432580683
59 -1.25111948860889 -0.156187120348381 59 -1.09493236826051
60 -1.31601248796685 -0.222437200397863 60 -1.09357528756899
61 -1.29784506509466 -0.205631579845738 61 -1.09221348524892
62 -1.16650987824205 -0.075663981669841 62 -1.09084589657221
63 -1.43679367002566 -0.347320457122353 63 -1.08947321290331
64 -1.3744844960977 -0.286389653385188 64 -1.08809484271251
65 -1.23720247191354 -0.150491582265169 65 -1.08671088964837
66 -1.32823497030148 -0.242913456935737 66 -1.08532151336574
67 -1.32403297319126 -0.240106023115514 67 -1.08392695007575
68 -1.18996580005124 -0.10743880119016 68 -1.08252699886108
69 -1.30963390055749 -0.228512775537365 69 -1.08112112502012
70 -1.36190068902893 -0.282190696391502 70 -1.07970999263743
71 -1.24147853997678 -0.163185035742647 71 -1.07829350423413
72 -1.32983379235939 -0.252962354341438 72 -1.07687143801795
73 -1.17008550110512 -0.0946417590610484 73 -1.07544374204407
74 -1.32613409969792 -0.252123380568889 74 -1.07401071912903
75 -1.30219650688068 -0.229624499780088 75 -1.07257200710059
76 -1.20173349811884 -0.130605914817652 76 -1.07112758330119
77 -1.32223994084882 -0.252562147815686 77 -1.06967779303313
78 -1.24963616236712 -0.181413993006062 78 -1.06822216936106
79 -1.3269498727294 -0.260188812878417 79 -1.06676105985098
80 -1.23060879487898 -0.165314508276581 80 -1.0652942866024
81 -1.27519646135885 -0.211374251280099 81 -1.06382221007875
82 -1.28549038397011 -0.223146097465422 82 -1.06234428650469
83 -1.29899433827367 -0.238133931900069 83 -1.0608604063736
84 -1.26102017345073 -0.201649121291763 84 -1.05937105215897
85 -1.24797524089636 -0.190099370649304 85 -1.05787587024706
86 -1.20595874636381 -0.149583673266262 86 -1.05637507309755
87 -1.16144983330988 -0.106581349358007 87 -1.05486848395187
88 -1.32327794569074 -0.269921804506743 88 -1.053356141184
89 -1.36043934010663 -0.308601207269932 89 -1.0518381328367
90 -1.42681549772151 -0.376500879262382 90 -1.05031461845913
91 -1.28858128424001 -0.239796128279162 91 -1.04878515596085
92 -1.22828082415247 -0.181030902209376 92 -1.04724992194309
93 -1.23718366520335 -0.191474706223982 93 -1.04570895897937
94 -1.25305088297185 -0.208888712938659 94 -1.04416217003319
95 -1.23020363453007 -0.187593833242151 95 -1.04260980128792
96 -1.30791827776221 -0.266866882830111 96 -1.0410513949321
97 -1.2460406759241 -0.206553846011397 97 -1.0394868299127
98 -1.18213094112597 -0.144214747030601 98 -1.03791619409537
99 -1.26315296709267 -0.226812743325924 99 -1.03634022376675
100 -1.17678579510978 -0.142027884089675 100 -1.0347579110201
101 -1.39178600806264 -0.358616028786961 101 -1.03316997927568
102 -1.1803193501248 -0.148742923378764 102 -1.03157642674604
103 -1.15417029030629 -0.124193618132997 103 -1.02997667217329
104 -1.13941252063555 -0.111041759248322 104 -1.02837076138723
105 -1.12032411060433 -0.093565296867393 105 -1.02675881373694
106 -1.41157300545761 -0.386431810891919 106 -1.02514119456569
107 -1.22204512325482 -0.198527465148452 107 -1.02351765810637
108 -1.17063510879004 -0.148747499924388 108 -1.02188760886565
109 -1.16912840238623 -0.148876323801444 109 -1.02025207858479
110 -1.13940567546244 -0.120795283727092 110 -1.01861039173535
111 -1.21390039024404 -0.196938150830861 111 -1.01696223941318
112 -1.30285104168413 -0.287542996622897 112 -1.01530804506123
113 -1.24779603588238 -0.234147819045705 113 -1.01364821683668
114 -1.13772488040862 -0.125742849831618 114 -1.011982030577
115 -1.19599934181228 -0.185689419529578 115 -1.0103099222827
116 -1.1694080511366 -0.160776285355132 116 -1.00863176578147
117 -1.14521981004953 -0.138272230446026 117 -1.0069475796035
118 -1.20049882543154 -0.195241964368609 118 -1.00525686106293
119 -1.26146913045684 -0.257909029480155 119 -1.00356010097669
120 -1.26250828008677 -0.260650721534507 120 -1.00185755855226
121 -1.3199826924781 -0.31983390558902 121 -1.00014878688908
