"timeindex" "Y" "nsmY" "x" "y"
1 -1.33291351608118 0.302883473178023 1 -1.6357969892592
2 -2.40428514906777 -0.769565104795171 2 -1.6347200442726
3 -2.21036216355112 -0.576724642983153 3 -1.63363752056797
4 -1.92872495393323 -0.296174126426739 4 -1.63255082750649
5 -1.40558084354214 0.225878530248951 5 -1.63145937379109
6 -1.98083058438428 -0.350467570931476 6 -1.6303630134528
7 -2.3320661311234 -0.702804926688687 7 -1.62926120443471
8 -2.05860706989283 -0.430450931597909 8 -1.62815613829492
9 -1.81987761055463 -0.192832020308433 9 -1.6270455902462
10 -2.18140918059138 -0.555480766722351 10 -1.62592841386903
11 -2.18629023000955 -0.561483175778115 11 -1.62480705423144
12 -2.15464137220414 -0.530961647169172 12 -1.62367972503497
13 -1.64689027526857 -0.0243413404570525 13 -1.62254893481152
14 -1.939858774897 -0.31844582545235 14 -1.62141294944465
15 -1.64163093427703 -0.0213581020986329 15 -1.6202728321784
16 -1.92485433365919 -0.305727393446457 16 -1.61912694021273
17 -1.6771705595027 -0.0591942426595793 17 -1.61797631684312
18 -2.38742206678847 -0.77060104266444 18 -1.61682102412403
19 -1.06971081923204 0.54594942406437 19 -1.61566024329641
20 -2.05538978385451 -0.440896358809538 20 -1.61449342504497
21 -1.57579108946309 0.0375313721507569 21 -1.61332246161385
22 -1.96871592434029 -0.356570074384101 22 -1.61214584995619
23 -1.48008946807559 0.130873881727694 23 -1.61096334980328
24 -1.95550136751154 -0.345725889593118 24 -1.60977547791842
25 -2.30278886063886 -0.694207241727963 25 -1.6085816189109
26 -2.02238333057099 -0.414998984892727 26 -1.60738434567826
27 -1.90114831200921 -0.294966688973484 27 -1.60618162303573
28 -2.0108478602589 -0.405874775789752 28 -1.60497308446915
29 -1.69703485349376 -0.0932754339845387 29 -1.60375941950922
30 -1.67865490194458 -0.0761155185265878 30 -1.60253938341799
31 -1.47345036362752 0.127864764866327 31 -1.60131512849385
32 -1.46232808461888 0.137757324705326 32 -1.60008540932421
33 -2.12341137412918 -0.52456056782056 33 -1.59885080630862
34 -2.2851274372592 -0.68751764584822 34 -1.59760979141098
35 -1.60292718933496 -0.00656243773197795 35 -1.59636475160298
36 -1.69269584807119 -0.0975828776315499 36 -1.59511297043964
37 -2.23914397869406 -0.645288266395942 37 -1.59385571229812
38 -2.00127204058407 -0.40867967414175 38 -1.59259236644232
39 -2.22133873824629 -0.630014734745805 39 -1.59132400350049
40 -1.55080022194117 0.0392500000615581 40 -1.59005022200273
41 -2.31935899242483 -0.730587356761317 41 -1.58877163566351
42 -1.79296682282592 -0.205480788654789 42 -1.58748603417113
43 -1.0276339368807 0.558560362503923 43 -1.58619429938462
44 -1.9392935067133 -0.354397354059254 44 -1.58489615265405
45 -2.2166278071262 -0.633034759044336 45 -1.58359304808186
46 -1.82418842750187 -0.241902900926211 46 -1.58228552657566
47 -1.55611992616614 0.0248529795360979 47 -1.58097290570224
48 -1.34770530541323 0.231947930772416 48 -1.57965323618565
49 -1.90717003816133 -0.328840949451329 49 -1.57832908871
50 -2.13020716767484 -0.553209173380877 50 -1.57699799429396
51 -1.6407973413767 -0.0651356511805332 51 -1.57566169019617
52 -2.2431682110238 -0.668848131433144 52 -1.57432007959066
53 -2.41080589995107 -0.837835111706093 53 -1.57297078824498
54 -1.93459320830745 -0.362975719893854 54 -1.5716174884136
55 -2.11136085850029 -0.541103783847531 55 -1.57025707465276
56 -2.34307726016974 -0.774185728984333 56 -1.56889153118541
57 -2.42474807579717 -0.857228328638078 57 -1.56751974715909
58 -1.6901795344413 -0.124038402096124 58 -1.56614113234518
59 -1.45309061429486 0.111665718846206 59 -1.56475633314107
60 -2.34044930422985 -0.777083809256151 60 -1.5633654949737
61 -1.79300018738055 -0.231029422273854 61 -1.5619707651067
62 -1.03827230250288 0.522296157963726 62 -1.56056846046661
63 -1.35080444967886 0.208356038907241 63 -1.5591604885861
64 -2.38102841493882 -0.823281266871428 64 -1.55774714806739
65 -1.17602534273838 0.3803018913565 65 -1.55632723409488
66 -2.08458668423722 -0.529685150527953 66 -1.55490153370927
67 -2.48716526447472 -0.933696298687426 67 -1.55346896578729
68 -1.24976605396205 0.30226416534856 68 -1.55203021931061
69 -2.10083427546593 -0.550248989392678 69 -1.55058528607325
70 -1.79681386684197 -0.247679705628666 70 -1.5491341612133
71 -2.17386506371115 -0.626188927537348 71 -1.5476761361738
72 -1.65752521177898 -0.111313195519854 72 -1.54621201625913
73 -1.65298558875349 -0.108243783191766 73 -1.54474180556172
74 -1.87722551189288 -0.333959993019163 74 -1.54326551887372
75 -1.81768432313876 -0.275901912643814 75 -1.54178241049495
76 -1.79327746935815 -0.252984458418992 76 -1.54029301093916
77 -1.29081788817223 0.247979346182949 77 -1.53879723435518
78 -1.60597932136243 -0.0686843695186714 78 -1.53729495184376
79 -2.05442971785508 -0.518643936704665 79 -1.53578578115042
80 -1.70571720269157 -0.171445624499379 80 -1.53427157819219
81 -1.85298157280788 -0.320230224808296 81 -1.53275134799958
82 -1.29655715626744 0.234666984881222 82 -1.53122414114866
83 -1.70867406506455 -0.17898474683609 83 -1.52968931822846
84 -1.62512529897604 -0.0969767214631454 84 -1.52814857751289
85 -1.91098798446115 -0.38438620447664 85 -1.52660177998451
86 -1.13145382907884 0.393593327647918 86 -1.52504715672676
87 -1.73500133139965 -0.211514921547908 87 -1.52348640985174
88 -1.43352906578475 0.0883908118526722 88 -1.52191987763742
89 -1.37277256344517 0.147574275868211 89 -1.52034683931338
90 -2.17549308294331 -0.656726008792749 90 -1.51876707415056
91 -1.63260471427017 -0.115425165562986 91 -1.51717954870718
92 -2.13606716892788 -0.620481318525688 92 -1.51558585040219
93 -1.71760375410614 -0.203617549273614 93 -1.51398620483253
94 -1.85480188500751 -0.342421925981279 94 -1.51237995902623
95 -1.55353016548126 -0.0427627779380981 95 -1.51076738754316
96 -2.20130306464636 -0.692154996456022 96 -1.50914806819034
